trading_date,TF,TL,T,TS
2024-03-07,106.377,107.93,118.07000000000002,104.68099999999998
2024-03-08,106.40199999999999,107.77000000000001,118.12500000000001,104.689
2024-03-11,106.32199999999999,107.33000000000001,117.99500000000002,104.657
2024-03-12,106.27199999999999,106.49000000000001,117.89500000000002,104.67099999999999
2024-03-13,106.13699999999999,105.77000000000001,117.66000000000003,104.62899999999999
2024-03-14,106.13199999999999,106.11000000000001,117.65000000000002,104.61099999999999
2024-03-15,106.237,106.95,117.84500000000001,104.65299999999999
2024-03-18,106.29199999999999,107.07000000000001,117.91000000000003,104.68499999999999
2024-03-19,106.28699999999999,107.37,117.93500000000002,104.69899999999998
2024-03-20,106.282,107.55000000000001,117.91500000000002,104.689
2024-03-21,106.442,107.34,118.05500000000002,104.75899999999999
2024-03-22,106.407,107.30000000000001,118.01500000000001,104.767
2024-03-25,106.252,106.04,117.76000000000002,104.78099999999999
2024-03-26,106.29699999999998,106.28000000000002,117.75500000000002,104.78899999999999
2024-03-27,106.347,106.34,117.79000000000002,104.79699999999998
2024-03-28,106.41199999999999,106.97000000000001,117.93500000000002,104.82499999999999
2024-03-29,106.42199999999998,106.79,117.90000000000002,104.841
2024-04-01,106.37199999999999,106.76,117.81000000000002,104.82099999999998
2024-04-02,106.392,106.84,117.84500000000001,104.83299999999998
2024-04-03,106.49699999999999,107.22000000000001,118.03000000000002,104.85099999999998
2024-04-08,106.52199999999999,107.26,118.04000000000002,104.85699999999999
2024-04-09,106.657,107.7,118.18500000000002,104.913
2024-04-10,106.597,107.32000000000001,118.10500000000002,104.889
2024-04-11,106.657,106.88000000000001,118.14500000000002,104.92099999999999
2024-04-12,106.80199999999999,107.2,118.39000000000001,104.94099999999999
2024-04-15,106.782,107.19000000000001,118.49500000000002,104.90299999999999
2024-04-16,106.66699999999999,107.08000000000001,118.39500000000002,104.85699999999999
2024-04-17,106.74199999999999,107.7,118.45000000000002,104.89299999999999
2024-04-18,106.82199999999999,107.82000000000001,118.55000000000001,104.91699999999999
2024-04-19,106.817,108.25000000000001,118.54500000000002,104.92699999999999
2024-04-22,106.847,108.64000000000001,118.64000000000001,104.94899999999998
